element,ion,wavelength,rel_intensity
H,II,560.579,277
H,II,860.589,941
H,II,390.937,709
H,II,812.996,177
H,II,409.588,518
H,II,335.031,480
H,II,798.664,714
H,II,896.286,956
H,II,247.472,732
H,II,770.942,374
H,II,270.728,694
H,II,649.921,332
H,II,527.097,775
H,II,465.852,517
H,II,797.362,710
H,II,857.337,218
H,II,474.281,918
H,II,201.301,755
H,II,725.319,514
H,II,350.151,414
H,II,652.17,842
H,II,646.032,411
H,II,785.84,117
H,II,632.027,651
H,II,465.015,314
H,II,409.364,871
H,II,211.033,715
H,II,699.36,875
H,II,754.908,964
H,II,324.813,484
H,II,688.527,157
H,II,873.227,825
H,II,723.931,875
H,II,240.015,840
H,II,434.664,407
H,II,630.281,799
H,II,381.827,525
H,II,660.499,667
H,II,594.032,988
H,II,367.249,881
H,II,775.89,93
H,II,343.533,749
H,II,208.731,686
H,II,467.275,700
H,II,563.658,989
H,II,672.692,433
H,II,475.557,202
H,II,288.391,272
H,II,636.802,599
H,II,429.435,772
H,II,371.132,984
H,II,207.844,689
H,II,830.303,976
H,II,607.55,491
H,II,492.372,893
H,II,841.968,171
H,II,649.974,366
H,II,701.501,476
H,II,694.734,714
H,II,535.02,505
H,II,800.89,912
H,II,851.648,283
H,II,520.154,250
H,II,791.078,942
H,II,266.105,168
H,II,573.563,599
H,II,367.636,860
H,II,360.818,322
H,II,365.66,214
H,II,815.16,138
He,I,472.699,758
He,I,878.608,709
He,I,323.377,803
He,I,461.653,91
He,I,457.352,727
He,I,749.898,984
He,I,794.044,371
He,I,391.597,606
He,I,576.278,247
He,I,742.9,811
He,I,387.259,114
He,I,432.351,94
He,I,385.656,671
He,I,471.392,147
He,I,758.047,613
He,I,598.238,193
He,I,468.091,858
He,I,630.57,684
He,I,205.502,392
He,I,334.28,171
He,I,678.525,308
He,I,725.671,485
He,I,557.869,677
He,I,427.386,593
He,I,729.46,422
He,I,685.622,497
He,I,580.355,612
He,I,562.217,979
He,I,587.55,244
He,I,417.929,125
He,I,598.913,367
He,I,811.116,350
He,I,213.129,698
He,I,856.846,473
He,I,616.643,826
He,I,687.545,282
He,I,691.803,335
He,I,473.15,768
He,I,658.857,545
He,I,629.277,624
He,I,474.081,880
He,I,458.823,404
He,I,897.602,684
He,I,245.964,85
He,I,310.518,654
He,I,757.266,98
He,I,848.012,699
He,I,311.653,638
He,I,606.102,128
He,I,831.695,109
He,I,665.26,758
He,I,888.442,893
He,I,381.36,445
He,I,680.867,932
He,I,255.347,427
He,I,576.051,872
He,I,531.752,587
He,I,671.107,539
He,I,441.234,746
He,I,651.502,134
He,I,677.059,150
He,I,417.579,862
He,I,678.951,717
He,I,418.045,757
He,I,432.003,141
He,I,805.764,323
He,I,321.272,443
He,I,243.959,246
He,I,742.872,437
He,I,208.504,705
He,I,651.634,910
He,I,374.182,442
He,I,562.539,771
He,I,362.702,150
He,I,826.774,903
He,I,626.171,539
He,I,637.041,696
He,I,558.284,151
He,I,816.757,309
He,I,732.512,910
He,I,746.044,431
He,II,684.959,673
He,II,309.968,762
He,II,714.487,605
He,II,408.655,563
He,II,422.988,256
He,II,667.993,639
He,II,439.22,834
He,II,627.823,509
He,II,219.943,282
He,II,445.932,115
He,II,346.811,903
He,II,214.483,313
He,II,755.651,221
He,II,490.211,899
He,II,534.538,881
He,II,605.561,743
He,II,654.996,632
He,II,448.052,970
He,II,806.07,370
He,II,604.031,790
He,II,447.178,391
He,II,389.857,875
He,II,747.236,676
He,II,276.778,605
He,II,870.864,860
He,II,585.072,339
He,II,267.792,71
He,II,211.828,707
He,II,482.992,849
He,II,752.932,653
He,II,346.289,627
He,II,440.821,927
He,II,878.632,901
He,II,633.831,260
He,II,874.391,99
He,II,578.178,662
He,II,213.176,293
He,II,626.398,163
He,II,725.105,274
He,II,336.86,413
He,II,518.543,892
He,II,637.644,717
He,II,724.268,874
He,II,373.075,234
He,II,738.607,987
He,II,543.005,774
He,II,240.126,942
He,II,708.695,664
He,II,640.577,52
He,II,625.674,746
He,II,465.571,404
He,II,395.633,836
He,II,587.346,395
He,II,209.589,723
He,II,251.823,239
He,II,272.92,183
He,II,472.205,871
He,II,879.263,840
He,II,496.96,181
He,II,446.397,713
He,II,499.631,599
He,II,816.158,64
He,II,215.964,806
He,II,661.018,597
He,II,463.769,998
He,II,542.627,498
He,II,414.247,767
He,II,559.18,336
He,II,585.879,640
He,II,585.285,463
He,II,725.985,442
He,II,723.215,661
He,II,589.931,497
He,II,603.723,722
He,II,590.961,379
He,II,576.217,922
He,II,216.231,643
He,II,639.759,792
Li,I,238.856,276
Li,I,864.674,313
Li,I,427.527,340
Li,I,842.935,838
Li,I,481.455,531
Li,I,597.886,76
Li,I,693.38,720
Li,I,714.255,912
Li,I,238.683,462
Li,I,605.931,130
Li,I,316.989,169
Li,I,719.095,267
Li,I,616.074,270
Li,I,396.906,879
Li,I,507.282,246
Li,I,382.858,319
Li,I,637.284,806
Li,I,509.966,335
Li,I,695.498,474
Li,I,841.615,918
Li,I,873.41,449
Li,I,483.801,241
Li,I,718.196,600
Li,I,770.388,931
Li,I,269.052,935
Li,I,758.882,936
Li,I,483.161,633
Li,I,333.183,808
Li,I,769.316,222
Li,I,785.532,772
Li,I,852.633,575
Li,I,685.616,546
Li,I,489.831,555
Li,I,648.045,841
Li,I,573.352,91
Li,I,393.095,795
Li,I,319.319,682
Li,I,299.792,474
Li,I,435.962,659
Li,I,289.596,577
Li,I,429.958,858
Li,I,475.711,688
Li,I,486.658,178
Li,I,302.265,126
Li,I,385.354,435
Li,I,779.857,244
Li,I,527.376,134
Li,I,706.197,207
Li,I,216.77,753
Li,I,729.372,176
Li,I,860.037,448
Li,I,202.699,434
Li,I,509.889,935
Li,I,379.179,814
Li,I,594.587,171
Li,I,717.223,70
Li,I,672.192,63
Li,I,373.921,358
Li,I,600.36,381
Li,I,667.234,561
Li,I,271.709,841
Li,I,676.53,662
Li,I,385.832,631
Li,I,381.658,644
Li,I,219.337,934
Li,I,822.723,57
Li,I,755.009,590
Li,I,240.382,547
Li,I,576.093,409
Li,I,832.641,264
Li,I,846.512,999
Li,I,520.573,916
Li,I,372.988,394
Li,I,605.489,381
Li,I,623.066,75
Li,I,338.571,878
Li,I,348.132,655
Li,I,596.807,393
Li,I,514.662,153
Li,I,591.58,154
Li,I,259.226,57
Li,I,782.83,750
Li,I,474.13,517
Li,I,438.17,253
Li,I,636.248,325
Li,II,771.143,560
Li,II,310.399,624
Li,II,896.351,580
Li,II,859.39,961
Li,II,668.376,585
Li,II,315.152,881
Li,II,873.649,746
Li,II,826.747,637
Li,II,863.142,195
Li,II,715.392,323
Li,II,555.413,895
Li,II,526.192,156
Li,II,872.83,384
Li,II,385.018,275
Li,II,469.305,784
Li,II,854.988,718
Li,II,273.221,921
Li,II,362.354,120
Li,II,458.917,407
Li,II,318.128,525
Li,II,621.844,727
Li,II,244.07,474
Li,II,271.701,476
Li,II,342.488,901
Li,II,545.486,197
Li,II,583.428,176
Li,II,785.125,570
Li,II,417.051,837
Li,II,628.759,476
Li,II,737.277,752
Li,II,393.348,368
Li,II,803.314,957
Li,II,354.278,826
Li,II,541.801,650
Li,II,883.625,52
Li,II,416.636,263
Li,II,408.799,493
Li,II,474.265,219
Li,II,503.162,503
Li,II,867.755,128
Li,II,566.36,744
Li,II,680.582,187
Li,II,638.91,814
Li,II,797.772,870
Li,II,813.099,722
Li,II,620.842,694
Li,II,632.796,802
Li,II,824.425,402
Li,II,291.403,774
Li,II,794.628,134
Li,II,665.645,913
Li,II,784.364,481
Li,II,504.86,296
Li,II,290.014,289
Li,II,376.887,769
Li,II,367.716,452
Li,II,543.099,921
Li,II,871.137,461
Li,II,520.604,748
Li,II,755.243,801
Li,II,738.624,372
Li,II,270.633,632
Li,II,626.108,67
Li,II,651.78,992
Li,II,459.745,343
Li,II,358.207,759
Li,II,447.238,650
Li,II,821.019,705
Li,II,635.893,960
Li,II,300.322,345
Li,II,285.997,381
Li,II,846.285,291
Li,II,899.846,627
Li,II,712.813,584
Li,II,743.652,398
Li,II,478.098,202
Li,II,237.141,563
Li,II,833.386,979
Li,II,864.861,129
Li,II,374.447,469
Li,II,849.981,254
Li,II,641.769,112
Li,II,205.206,600
Li,II,829.014,304
Li,II,456.926,547
Li,II,670.033,746
Li,II,287.329,359
Li,II,886.382,869
Be,I,787.473,529
Be,I,286.791,333
Be,I,245.981,878
Be,I,241.465,156
Be,I,362.0,652
Be,I,551.808,491
Be,I,643.627,883
Be,I,460.305,126
Be,I,848.769,567
Be,I,390.476,358
Be,I,765.162,249
Be,I,266.496,475
Be,I,482.785,416
Be,I,735.989,437
Be,I,536.716,293
Be,I,256.292,993
Be,I,394.297,636
Be,I,765.986,251
Be,I,712.07,455
Be,I,750.874,949
Be,I,362.464,439
Be,I,235.587,242
Be,I,720.167,596
Be,I,354.319,757
Be,I,367.473,970
Be,I,599.962,900
Be,I,290.599,371
Be,I,538.143,221
Be,I,241.652,343
Be,I,598.193,935
Be,I,724.417,729
Be,I,840.955,112
Be,I,352.029,642
Be,I,667.798,929
Be,I,753.832,397
Be,I,595.766,960
Be,I,649.857,902
Be,I,695.546,144
Be,I,623.375,846
Be,I,403.816,263
Be,I,649.8,62
Be,I,278.026,259
Be,I,506.618,780
Be,I,440.875,286
Be,I,404.295,374
Be,I,859.543,52
Be,I,223.159,370
Be,I,516.97,862
Be,I,408.831,147
Be,I,536.622,395
Be,I,716.044,795
Be,I,444.159,248
Be,I,280.285,894
Be,I,770.157,334
Be,I,844.214,179
Be,I,437.83,438
Be,I,649.994,942
Be,I,826.484,777
Be,I,556.464,813
Be,I,488.953,145
Be,I,779.651,404
Be,I,300.077,154
Be,I,290.412,734
Be,I,382.92,448
Be,I,474.243,347
Be,I,492.582,282
Be,I,791.273,66
Be,I,880.564,757
Be,I,629.291,825
Be,I,576.131,454
Be,I,621.664,118
Be,I,253.288,556
Be,I,495.797,245
Be,I,666.673,131
Be,I,357.292,236
Be,I,790.316,933
Be,I,701.632,143
Be,I,749.124,566
Be,I,487.879,308
Be,I,278.346,362
Be,I,212.911,423
Be,I,473.873,444
Be,I,206.821,591
Be,I,503.861,697
Be,II,535.12,621
Be,II,809.683,402
Be,II,738.305,168
Be,II,441.82,50
Be,II,632.199,897
Be,II,244.281,169
Be,II,626.25,206
Be,II,702.829,753
Be,II,876.001,471
Be,II,552.477,786
Be,II,616.906,556
Be,II,292.144,302
Be,II,678.114,204
Be,II,526.196,693
Be,II,333.143,462
Be,II,872.693,869
Be,II,793.429,267
Be,II,665.862,963
Be,II,300.502,317
Be,II,589.07,586
Be,II,466.072,557
Be,II,803.297,725
Be,II,854.806,665
Be,II,880.792,907
Be,II,590.769,999
Be,II,482.813,238
Be,II,350.588,396
Be,II,521.374,457
Be,II,699.934,489
Be,II,887.73,926
Be,II,346.171,561
Be,II,429.473,471
Be,II,727.462,693
Be,II,554.117,501
Be,II,797.437,382
Be,II,484.963,901
Be,II,289.863,138
Be,II,281.42,756
Be,II,410.866,73
Be,II,231.371,310
Be,II,824.979,257
Be,II,528.396,785
Be,II,266.489,421
Be,II,581.317,367
Be,II,435.771,492
Be,II,243.062,357
Be,II,712.526,530
Be,II,794.205,576
Be,II,261.622,242
Be,II,688.329,951
Be,II,239.85,957
Be,II,439.737,997
Be,II,204.128,326
Be,II,407.945,728
Be,II,677.236,154
Be,II,640.837,542
Be,II,621.681,873
Be,II,254.737,721
Be,II,447.635,73
Be,II,263.111,344
Be,II,690.035,164
Be,II,779.602,565
Be,II,592.423,526
Be,II,410.37,383
Be,II,575.054,531
Be,II,517.065,933
Be,II,266.179,1000
Be,II,224.696,549
Be,II,683.579,157
Be,II,721.73,869
Be,II,369.687,142
Be,II,360.753,558
Be,II,391.933,821
Be,II,418.744,103
Be,II,491.838,842
Be,II,683.686,420
Be,II,286.092,219
Be,II,482.127,248
Be,II,614.92,166
Be,II,442.75,89
Be,II,211.946,587
Be,II,587.607,253
Be,II,863.881,913
Be,II,832.119,135
Be,II,710.776,414
Be,II,361.39,651
Be,II,689.987,995
B,I,879.698,125
B,I,543.835,672
B,I,496.77,231
B,I,320.989,186
B,I,317.745,848
B,I,240.988,785
B,I,246.976,785
B,I,309.557,935
B,I,339.873,297
B,I,625.643,478
B,I,820.911,781
B,I,353.816,328
B,I,847.57,733
B,I,773.491,520
B,I,639.113,968
B,I,686.717,298
B,I,224.206,98
B,I,754.446,335
B,I,477.702,381
B,I,861.442,894
B,I,230.293,990
B,I,285.761,903
B,I,249.008,650
B,I,884.333,706
B,I,367.118,429
B,I,276.714,518
B,I,589.671,336
B,I,653.837,187
B,I,367.03,127
B,I,613.298,830
B,I,847.026,910
B,I,431.234,860
B,I,662.178,151
B,I,636.671,198
B,I,327.935,177
B,I,795.186,175
B,I,230.64,362
B,I,241.23,636
B,I,376.061,774
B,I,347.315,282
B,I,789.717,579
B,I,536.677,867
B,I,372.559,428
B,I,807.243,401
B,I,532.084,445
B,I,398.219,860
B,I,235.27,55
B,I,488.756,415
B,I,608.686,565
B,I,733.376,614
B,I,461.369,74
B,I,718.584,484
B,I,561.327,521
B,I,629.63,942
B,I,631.454,789
B,I,656.642,428
B,I,824.652,442
B,I,771.126,328
B,I,618.384,663
B,I,310.762,804
B,I,639.618,495
B,I,815.381,587
B,I,429.148,347
B,I,522.99,921
B,I,729.134,181
B,I,214.807,795
B,I,515.731,960
B,I,644.133,317
B,I,497.254,221
B,I,758.08,164
B,I,817.018,607
B,I,265.294,661
B,I,564.261,245
B,I,743.847,598
B,I,722.692,643
B,I,773.969,841
B,I,583.414,121
B,I,761.76,951
B,I,393.388,177
B,I,830.658,667
B,I,559.912,206
B,I,703.865,743
B,II,796.654,648
B,II,686.072,83
B,II,708.218,799
B,II,396.523,973
B,II,278.482,372
B,II,547.287,279
B,II,561.348,314
B,II,660.452,605
B,II,606.83,451
B,II,565.57,103
B,II,794.216,924
B,II,330.004,998
B,II,231.462,381
B,II,673.37,493
B,II,835.985,896
B,II,376.499,635
B,II,602.457,810
B,II,394.025,592
B,II,835.7,213
B,II,351.891,332
B,II,635.319,963
B,II,717.339,236
B,II,438.352,664
B,II,771.872,623
B,II,650.015,699
B,II,525.449,86
B,II,517.502,260
B,II,542.931,961
B,II,323.741,338
B,II,665.114,949
B,II,687.197,411
B,II,805.858,365
B,II,276.054,274
B,II,239.142,419
B,II,841.14,248
B,II,709.263,133
B,II,504.469,477
B,II,511.332,189
B,II,658.677,354
B,II,219.45,557
B,II,655.273,637
B,II,495.925,452
B,II,746.486,153
B,II,421.798,551
B,II,426.838,614
B,II,561.875,935
B,II,434.222,694
B,II,568.192,761
B,II,203.647,663
B,II,682.003,546
B,II,342.542,593
B,II,648.428,688
B,II,786.469,294
B,II,673.756,972
B,II,834.672,341
B,II,752.131,919
B,II,317.046,349
B,II,564.88,107
B,II,256.136,599
B,II,690.233,135
B,II,333.457,243
B,II,587.942,602
B,II,723.765,97
B,II,501.146,415
B,II,690.442,682
B,II,491.338,712
B,II,701.432,928
B,II,335.818,345
B,II,204.981,273
B,II,278.409,262
B,II,257.515,58
B,II,457.066,502
B,II,839.325,540
B,II,467.664,941
B,II,620.731,219
B,II,221.517,329
B,II,622.13,769
B,II,679.37,532
B,II,282.311,159
C,I,583.756,837
C,I,625.706,244
C,I,651.587,769
C,I,550.37,589
C,I,498.283,259
C,I,746.384,563
C,I,596.511,880
C,I,805.466,370
C,I,745.281,572
C,I,387.922,230
C,I,670.897,986
C,I,506.847,340
C,I,642.94,988
C,I,408.927,422
C,I,722.782,856
C,I,473.13,866
C,I,314.86,103
C,I,748.31,333
C,I,534.814,746
C,I,214.111,654
C,I,318.412,588
C,I,853.27,822
C,I,761.89,103
C,I,774.745,401
C,I,667.889,733
C,I,722.913,998
C,I,743.954,491
C,I,494.418,670
C,I,568.981,725
C,I,355.585,993
C,I,808.625,167
C,I,644.463,486
C,I,449.623,379
C,I,514.413,825
C,I,223.778,729
C,I,395.324,981
C,I,291.691,541
C,I,280.234,908
C,I,626.506,755
C,I,508.245,205
C,I,886.173,77
C,I,756.571,727
C,I,505.857,103
C,I,208.542,116
C,I,442.494,171
C,I,225.067,64
C,I,548.66,780
C,I,650.609,495
C,I,257.453,74
C,I,423.559,966
C,I,478.007,954
C,I,694.279,815
C,I,750.216,296
C,I,855.344,759
C,I,499.024,185
C,I,645.585,469
C,I,409.066,862
C,I,379.133,777
C,I,289.572,122
C,I,662.966,693
C,I,227.942,243
C,I,830.561,569
C,I,200.664,303
C,I,611.109,654
C,I,899.988,320
C,I,380.007,498
C,I,289.914,809
C,I,361.67,316
C,I,709.056,950
C,I,865.209,365
C,I,345.512,413
C,I,848.931,980
C,I,226.048,616
C,I,476.682,256
C,I,845.879,266
C,I,763.212,684
C,I,553.351,171
C,I,811.708,402
C,I,468.644,952
C,I,654.871,533
C,I,214.183,215
C,I,398.161,820
C,I,643.338,968
C,I,823.958,264
C,II,286.027,589
C,II,710.913,697
C,II,591.317,487
C,II,373.395,59
C,II,623.435,508
C,II,361.106,839
C,II,856.742,579
C,II,572.257,60
C,II,716.295,175
C,II,505.977,314
C,II,567.848,264
C,II,358.268,734
C,II,510.906,381
C,II,749.455,502
C,II,852.303,553
C,II,700.547,607
C,II,624.066,937
C,II,328.868,774
C,II,600.3,987
C,II,209.455,745
C,II,372.968,298
C,II,855.932,540
C,II,257.233,175
C,II,426.744,535
C,II,434.859,774
C,II,649.585,495
C,II,269.717,119
C,II,836.806,694
C,II,284.857,884
C,II,578.852,425
C,II,834.78,860
C,II,535.506,505
C,II,258.163,840
C,II,555.842,491
C,II,737.857,588
C,II,594.558,784
C,II,245.334,844
C,II,327.973,183
C,II,290.872,813
C,II,559.334,596
C,II,432.473,687
C,II,352.162,852
C,II,731.875,555
C,II,640.847,932
C,II,312.488,487
C,II,280.479,870
C,II,843.599,276
C,II,254.102,100
C,II,508.774,790
C,II,523.247,778
C,II,789.912,896
C,II,574.884,103
C,II,825.579,477
C,II,658.418,286
C,II,282.427,679
C,II,576.474,263
C,II,891.431,266
C,II,760.483,294
C,II,849.715,70
C,II,537.783,97
C,II,271.5,179
C,II,545.945,915
C,II,306.107,646
C,II,890.323,526
C,II,302.491,632
C,II,318.821,495
C,II,837.531,321
C,II,523.439,171
C,II,425.372,160
C,II,605.285,382
C,II,798.675,644
C,II,531.048,760
C,II,572.652,221
C,II,515.075,253
C,II,712.071,581
C,II,498.86,624
C,II,464.206,312
C,II,354.247,489
C,II,684.65,594
C,II,795.715,994
C,II,857.269,68
C,II,453.533,776
C,II,356.256,745
C,II,776.623,347
C,II,277.213,920
C,II,859.215,621
C,II,390.588,388
N,I,785.005,794
N,I,635.237,207
N,I,540.825,284
N,I,537.162,736
N,I,255.679,737
N,I,201.429,311
N,I,719.082,613
N,I,586.997,344
N,I,682.652,262
N,I,505.552,532
N,I,457.648,677
N,I,427.066,387
N,I,345.486,792
N,I,603.698,50
N,I,663.766,764
N,I,829.657,152
N,I,643.669,274
N,I,870.147,796
N,I,764.124,814
N,I,231.136,718
N,I,894.631,694
N,I,735.733,648
N,I,267.524,665
N,I,405.389,510
N,I,743.992,105
N,I,227.018,373
N,I,223.096,736
N,I,867.694,787
N,I,404.315,188
N,I,255.169,599
N,I,205.433,143
N,I,795.514,607
N,I,785.408,310
N,I,447.632,429
N,I,877.046,225
N,I,219.964,638
N,I,733.961,652
N,I,614.214,886
N,I,209.385,272
N,I,665.344,766
N,I,788.281,571
N,I,666.703,594
N,I,600.214,421
N,I,647.37,699
N,I,532.672,830
N,I,365.424,388
N,I,312.019,744
N,I,667.094,849
N,I,706.322,76
N,I,462.52,69
N,I,261.571,119
N,I,222.389,553
N,I,697.187,91
N,I,441.753,775
N,I,658.053,486
N,I,298.845,559
N,I,837.854,138
N,I,821.085,339
N,I,639.222,994
N,I,877.75,358
N,I,897.658,606
N,I,704.609,434
N,I,378.897,854
N,I,531.131,794
N,I,486.937,93
N,I,859.769,381
N,I,440.723,241
N,I,464.998,64
N,I,612.451,416
N,I,203.633,643
N,I,317.347,389
N,I,355.675,974
N,I,739.454,763
N,I,423.481,771
N,I,460.121,253
N,I,615.153,527
N,I,363.225,384
N,II,807.12,880
N,II,311.477,219
N,II,255.206,402
N,II,422.63,511
N,II,451.213,572
N,II,474.082,414
N,II,302.36,656
N,II,569.736,657
N,II,385.727,332
N,II,397.442,197
N,II,271.243,655
N,II,427.746,805
N,II,535.093,272
N,II,884.446,863
N,II,824.081,571
N,II,348.517,436
N,II,780.83,865
N,II,757.906,483
N,II,844.819,941
N,II,340.938,141
N,II,325.135,425
N,II,313.021,239
N,II,219.681,986
N,II,393.196,435
N,II,854.305,853
N,II,297.64,487
N,II,446.107,270
N,II,789.325,329
N,II,267.974,784
N,II,433.609,232
N,II,837.417,200
N,II,351.387,984
N,II,346.706,73
N,II,458.301,243
N,II,259.04,823
N,II,873.219,245
N,II,321.064,549
N,II,666.332,473
N,II,442.748,619
N,II,558.083,473
N,II,588.539,749
N,II,613.188,539
N,II,604.947,88
N,II,747.392,732
N,II,474.992,683
N,II,667.723,984
N,II,736.618,531
N,II,618.873,906
N,II,848.444,541
N,II,693.012,424
N,II,823.677,818
N,II,343.68,471
N,II,705.414,556
N,II,789.303,281
N,II,861.145,784
N,II,896.14,438
N,II,818.457,682
N,II,344.964,951
N,II,324.555,980
N,II,240.784,146
N,II,813.183,932
N,II,552.088,255
N,II,507.498,886
N,II,533.913,808
N,II,468.03,703
N,II,815.76,403
N,II,624.23,497
N,II,271.737,175
N,II,689.176,347
N,II,708.589,523
N,II,451.841,243
N,II,217.889,383
N,II,712.59,120
N,II,387.358,412
N,II,504.038,560
N,II,388.576,969
N,II,401.277,474
N,II,600.511,190
N,II,377.408,125
N,II,333.758,846
N,II,575.321,818
N,II,872.409,607
O,I,649.49,646
O,I,575.361,762
O,I,502.553,169
O,I,555.81,117
O,I,773.574,212
O,I,775.274,691
O,I,438.374,877
O,I,641.597,76
O,I,337.397,426
O,I,372.775,367
O,I,331.281,920
O,I,237.894,535
O,I,884.155,245
O,I,650.84,393
O,I,643.719,910
O,I,800.939,533
O,I,218.057,369
O,I,611.475,416
O,I,311.159,334
O,I,613.21,415
O,I,351.817,735
O,I,580.56,872
O,I,628.647,801
O,I,826.827,443
O,I,603.741,606
O,I,399.866,477
O,I,845.836,555
O,I,350.124,571
O,I,735.696,101
O,I,564.041,864
O,I,697.234,504
O,I,675.237,445
O,I,729.415,589
O,I,407.787,133
O,I,361.353,717
O,I,867.27,914
O,I,578.218,577
O,I,561.952,818
O,I,251.826,573
O,I,846.513,654
O,I,676.181,338
O,I,700.199,178
O,I,438.8,991
O,I,303.602,823
O,I,318.179,915
O,I,304.522,222
O,I,700.087,668
O,I,438.22,115
O,I,214.078,308
O,I,274.637,179
O,I,217.539,538
O,I,550.811,416
O,I,228.516,804
O,I,287.175,433
O,I,661.865,66
O,I,257.092,324
O,I,518.085,250
O,I,611.531,731
O,I,462.206,205
O,I,633.201,480
O,I,883.756,288
O,I,321.558,473
O,I,420.673,338
O,I,798.197,437
O,I,333.416,553
O,I,805.841,905
O,I,468.259,635
O,I,601.374,434
O,I,232.0,90
O,I,238.505,159
O,I,705.153,93
O,I,242.806,918
O,I,690.116,283
O,I,664.623,530
O,I,664.784,389
O,I,241.39,385
O,I,350.301,928
O,I,554.835,952
O,I,457.502,66
O,I,301.005,311
O,I,373.576,974
O,I,732.844,450
O,I,408.32,118
O,I,405.622,591
O,I,810.158,902
O,I,800.83,989
O,I,485.98,610
O,I,521.769,301
O,II,606.8,658
O,II,452.969,387
O,II,541.332,89
O,II,393.322,341
O,II,770.646,774
O,II,258.185,512
O,II,725.549,472
O,II,221.99,915
O,II,436.756,398
O,II,418.134,105
O,II,889.266,56
O,II,307.391,567
O,II,255.233,675
O,II,245.187,261
O,II,831.0,253
O,II,314.324,293
O,II,301.757,591
O,II,642.62,761
O,II,319.657,455
O,II,352.05,792
O,II,877.138,79
O,II,712.317,187
O,II,884.299,231
O,II,794.498,228
O,II,224.231,801
O,II,772.535,448
O,II,628.471,542
O,II,211.291,313
O,II,295.825,996
O,II,269.955,553
O,II,499.407,219
O,II,630.741,583
O,II,259.767,678
O,II,346.441,962
O,II,269.681,719
O,II,696.088,249
O,II,892.655,387
O,II,754.365,570
O,II,782.186,582
O,II,473.041,507
O,II,218.069,618
O,II,508.984,288
O,II,801.59,250
O,II,558.692,625
O,II,714.373,860
O,II,652.047,887
O,II,368.709,235
O,II,428.095,858
O,II,756.4,568
O,II,876.493,720
O,II,621.16,390
O,II,450.688,379
O,II,730.764,781
O,II,676.818,693
O,II,285.77,657
O,II,597.066,971
O,II,510.251,394
O,II,383.126,993
O,II,532.223,537
O,II,844.744,782
O,II,830.371,162
O,II,846.135,133
O,II,889.199,315
O,II,859.583,662
O,II,480.949,97
O,II,636.624,496
O,II,213.048,775
O,II,411.768,228
O,II,672.65,338
O,II,604.73,896
O,II,811.34,293
O,II,673.246,576
O,II,336.985,986
O,II,535.814,525
O,II,795.888,630
O,II,430.254,244
O,II,374.299,547
O,II,627.585,630
O,II,849.528,135
O,II,833.206,468
O,II,732.184,696
O,II,323.842,660
O,II,236.411,286
O,II,443.184,227
O,II,818.046,770
O,II,798.604,137
O,II,407.182,726
F,I,826.254,248
F,I,514.974,989
F,I,581.785,458
F,I,787.187,331
F,I,664.152,792
F,I,790.844,552
F,I,867.702,288
F,I,835.75,448
F,I,620.81,477
F,I,447.17,474
F,I,433.322,278
F,I,621.823,926
F,I,595.537,422
F,I,626.944,812
F,I,388.621,368
